term_name,class_name,term_ns_name,term_iri,term_version_iri,label,definition,usage,notes,examples,type
region,GeographicContext,ltc:region,http://rs.tdwg.org/ltc/terms/region,http://rs.tdwg.org/ltc/terms/version/region-2023-08-01,Region,The name of a spatial region or named place of any size within an individual or multiple administrative areas.,,"Recommended best practice is to use this field in situations where the administrative location fields (country, stateProvince, county, etc.) provide insufficient description. For geological collections examples include basins, provinces, and fossil deposits.","Multi-country: `North European Plain`, Multi-state/Province: `Pacific Northwest`, Waterbody: `Southern`, Geological basins and provinces: `Michigan Basin`, `Mazon Creek`, `Bundenbach`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
stateProvince,GeographicContext,dwc:stateProvince,http://rs.tdwg.org/dwc/terms/stateProvince,,First Order Division,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.","""The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the GeographicContext is located.""",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names and to leave this field blank if the Location spans multiple entities at this administrative level or is uncertain.,"`Montana`, `Minas Gerais`, `CÃ³rdoba`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
waterBody,GeographicContext,dwc:waterBody,http://rs.tdwg.org/dwc/terms/waterBody,,Water Body,The name of the water body in which the Location occurs.,The name of the water body in which the GeographicContext is located.,"This is intended to define the lowest water body or aquatic feature that defines the geographical constraints of aquatic collections below ocean. Suggestions for appropriate vocabularies include: HydroLAKES (https://www.hydrosheds.org/page/hydrolakes), a database aiming to provide the shoreline polygons of all global lakes with a surface area of at least 10 ha, the 'water body' term in the OBO ontology (http://purl.obolibrary.org/obo/ENVO_00000063) and, for marine water bodies, IHO Sea Areas (http://www.vliz.be/en/imis?dasid=5444&doiid=323).","`Baltic Sea`, `Hudson River`, `Lago Nahuel Huapi`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
waterBodyType,GeographicContext,ltc:waterBodyType,http://rs.tdwg.org/ltc/terms/waterBodyType,http://rs.tdwg.org/ltc/terms/version/waterBodyType-2023-08-01,Waterbody Type,A term that indicates the aquatic order of a waterbody.,,"Recommendation is to use a controlled vocabulary, such as those fuind at https://www.usgs.gov/mission-areas/water-resources/science/types-water and https://sciencetrends.com/types-bodies-water-complete-list/.","`Ocean`, `Sea`, `Lake`, `Pond`, `River`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
GeologicalContext,GeologicalContext,ltc:GeologicalContext,http://rs.tdwg.org/ltc/terms/GeologicalContext,http://rs.tdwg.org/ltc/terms/version/GeologicalContext-2023-08-01,Geological Context,"Geological information, such as stratigraphy, that qualifies a region or place.",,,,http://www.w3.org/2000/01/rdf-schema#Class
bed,GeologicalContext,dwc:bed,http://rs.tdwg.org/dwc/terms/bed,,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,The full name of the lithostratigraphic bed from which the objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Beecher Trilobite Bed`, `McAbee Fossil Beds`, `Ashfall Fossil Beds`, `Nut Beds`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
earliestAgeOrLowestStage,GeologicalContext,dwc:earliestAgeOrLowestStage,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage,,Earliest Age Or Lowest Stage,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Atlantic`, `Boreal`, `Frasnian`, `Hirnantian`, `Maastrichtian`, `Bridgerian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
earliestEonOrLowestEonothem,GeologicalContext,dwc:earliestEonOrLowestEonothem,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,,Earliest Eon Or Lowest Eonothem,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Phanerozoic`, `Proterozoic`, `Arechean`, `Hadean`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
earliestEpochOrLowestSeries,GeologicalContext,dwc:earliestEpochOrLowestSeries,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,,Earliest Epoch Or Lowest Series,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Holocene`, `Pleistocene`, `Ibexian`, `Late Devonian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
earliestEraOrLowestErathem,GeologicalContext,dwc:earliestEraOrLowestErathem,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem,,Earliest Era Or Lowest Erathem,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Cenozoic`, `Mesozoic`, `Paleozoic`, `Neoproterozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
earliestPeriodOrLowestSystem,GeologicalContext,dwc:earliestPeriodOrLowestSystem,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,,Earliest Period Or Lowest System,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Neogene`, `Quaternary`, `Jurassic`, `Devonian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
formation,GeologicalContext,dwc:formation,http://rs.tdwg.org/dwc/terms/formation,,Formation,The full name of the lithostratigraphic formation from which the cataloged item was collected.,The full name of the lithostratigraphic formation from which objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Notch Peak Formation`, ` House Limestone`, `Fillmore Formation`, `Redwall Limestone`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
group,GeologicalContext,dwc:group,http://rs.tdwg.org/dwc/terms/group,,Group,The full name of the lithostratigraphic group from which the cataloged item was collected.,The full name of the lithostratigraphic group from which the objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Bathurst`, `Wealden`, `Elk Mound`, `Supai`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasIdentifier,GeologicalContext,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasMeasurementOrFact,GeologicalContext,ltc:hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,GeologicalContext,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestAgeOrHighestStage,GeologicalContext,dwc:latestAgeOrHighestStage,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage,,Latest Age Or Highest Stage,The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Atlantic`, `Boreal`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestEonOrHighestEonothem,GeologicalContext,dwc:latestEonOrHighestEonothem,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem,,Latest Eon Or Highest Eonothem,The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Phanerozoic`, `Proterozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestEpochOrHighestSeries,GeologicalContext,dwc:latestEpochOrHighestSeries,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries,,Latest Epoch Or Highest Series,The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Holocene`, `Pleistocene`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestEraOrHighestErathem,GeologicalContext,dwc:latestEraOrHighestErathem,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem,,Latest Era Or Highest Erathem,The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Cenozoic`, `Mesozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
latestPeriodOrHighestSystem,GeologicalContext,dwc:latestPeriodOrHighestSystem,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,,Latest Period Or Highest System,The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which objects in the collection originated.,"Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html","`Neogene`, `Tertiary`, `Quaternary`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
member,GeologicalContext,dwc:member,http://rs.tdwg.org/dwc/terms/member,,Member,The full name of the lithostratigraphic member from which the cataloged item was collected.,The full name of the lithostratigraphic member from which objects in the collection originated.,Recommend vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Lava Dam Member`, `Hellnmaria Member`, `Francis Creek Shale`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
supergroup,GeologicalContext,ltc:supergroup,http://rs.tdwg.org/ltc/terms/supergroup,http://rs.tdwg.org/ltc/terms/version/supergroup-2023-08-01,Supergroup,The full name of the lithostratigraphic supergroup from which the cataloged item was collected.,A supergroup is a formal assemblage of related or superposed groups or of groups and formations. Such units have proved useful in regional and provincial syntheses. Supergroups should be named only where their recognition serves a clear purpose.,Recommended vocabulary. At time of inclusion this term is in progress of being included as part of dwc tdwg/dwc#234,"`Karoe`, `Cape`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
Identifier,Identifier,ltc:Identifier,http://rs.tdwg.org/ltc/terms/Identifier,http://rs.tdwg.org/ltc/terms/version/Identifier-2023-08-01,Identifier,"A numeric, textual value, or reference such as an IRI, that can be used to uniquely identify the object to which it is attached.",,"Use this class to document stable identifiers that describe the collections and associated entities being represented in the collection description. For example, person identifiers, taxon identifiers, institution identifiers, organisational unit identifiers, gazetteer identifiers. Identifiers represented by this class may be globally unique, or unique within a given context.",,http://www.w3.org/2000/01/rdf-schema#Class
hasReference,Identifier,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
identifierSource,Identifier,ltc:identifierSource,http://rs.tdwg.org/ltc/terms/identifierSource,http://rs.tdwg.org/ltc/terms/version/identifierSource-2023-08-01,Identifier Source,The source or creator of the identifier.,,"This term refers to the organisation, framework, software or database that minted the identifier represented in the identifier property.","`Index Herbariorum`, `GBIF Registry of Scientific Collections (GRSciColl)`, `CITES`, `IPEN`, `NHM UK 'Join the Dots' framework`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
identifierType,Identifier,ltc:identifierType,http://rs.tdwg.org/ltc/terms/identifierType,http://rs.tdwg.org/ltc/terms/version/identifierType-2023-08-01,Identifier Type,The type and format of the value in the identifier field.,,This property should be used to help people and software understand how the identifier can be used (e.g. whether it's a resolvable URI) and validate the identifier based on format and composition (e.g. a valid UUID).,"`Acronym`, `URI`, `UUID v4`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
identifierValue,Identifier,ltc:identifierValue,http://rs.tdwg.org/ltc/terms/identifierValue,http://rs.tdwg.org/ltc/terms/version/identifierValue-2023-08-01,Identifier,"A textual or numeric identifier, acronym or URI that provides an unambiguous reference for an entity within a given context.",,"This may be a simple value or resolvable URI, and can reflect any identifier used to identify an entity (such as a collection, taxon, institution or person) included in the Collection Description.","`http://grscicoll.org/institutional-collection/osteology`, `https://www.gbif.org/grscicoll/collection/64232ca4-fd5a-4a3d-a1d5-ef812107472c`, `https://www.gbif.org/grscicoll/institution/52827361-5e82-43b7-b92a-f6ad98367fa5`, `http://sweetgum.nybg.org/science/ih/herbarium-details/?irn=126969`, `10.5072/example-full`, `NHMUK-Verts`, `BGBM`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
LatimerCoreScheme,LatimerCoreScheme,ltc:LatimerCoreScheme,http://rs.tdwg.org/ltc/terms/LatimerCoreScheme,http://rs.tdwg.org/ltc/terms/version/LatimerCoreScheme-2023-08-01,Latimer Core Scheme,"A grouping of multiple ObjectGroups for a particular use case, purpose or implementation.",,"Where the same objects within the same collection might be described by more than one ObjectGroup for different purposes (for examples, a 'Darwin Fossil Mammals' collection description might overlap with a 'Offsite Palaeontology' collection description), this class can be used to distinguish between them and avoid double-counting of metrics in queries against the data.",,http://www.w3.org/2000/01/rdf-schema#Class
basisOfScheme,LatimerCoreScheme,ltc:basisOfScheme,http://rs.tdwg.org/ltc/terms/basisOfScheme,http://rs.tdwg.org/ltc/terms/version/basisOfScheme-2023-08-01,Basis Of Scheme,A summary of the basis or purpose for the LatimerCoreScheme.,,"This property is intended to summarise the reason for grouping a number of ObjectGroups within the LatimerCoreScheme, and the purpose for which the data is intended to be used. This may also be reflected in the terms and metrics defined using the SchemeTerm and SchemeMeasurementOrFact classes respectively. Using this approach, standard and reusable profiles within the wider Latimer Core standard may be constructed for common collection descriptions use cases.","`Accession`, `Inventory`, `Expedition`, `Digitisation planning`, `Collections assessment`, `Institution`, `Collections registry`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasIdentifier,LatimerCoreScheme,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasObjectGroup,LatimerCoreScheme,ltc:hasObjectGroup,http://rs.tdwg.org/ltc/terms/hasObjectGroup,http://rs.tdwg.org/ltc/terms/version/hasObjectGroup-2023-08-01,Has Object Group,This property refers to one or more related instances of the ObjectGroup class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,LatimerCoreScheme,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasSchemeMeasurementOrFact,LatimerCoreScheme,ltc:hasSchemeMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasSchemeMeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/hasSchemeMeasurementOrFact-2023-08-01,Has Scheme Measurement Or Fact,This property refers to one or more related instances of the SchemeMeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasSchemeTerm,LatimerCoreScheme,ltc:hasSchemeTerm,http://rs.tdwg.org/ltc/terms/hasSchemeTerm,http://rs.tdwg.org/ltc/terms/version/hasSchemeTerm-2023-08-01,Has Scheme Term,This property refers to one or more related instances of the SchemeTerm class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isDistinctObjects,LatimerCoreScheme,ltc:isDistinctObjects,http://rs.tdwg.org/ltc/terms/isDistinctObjects,http://rs.tdwg.org/ltc/terms/version/isDistinctObjects-2023-08-01,Is Distinct Objects,A flag to designate whether a physical object may be described by more than one ObjectGroup within the LatimerCoreScheme.,,"If isDistinctObjects is set to 'true', then no collection object should be covered by more than one object group within the LatimerCoreScheme. This is important for aggregating and reporting on metrics such as object counts, as it prevents any physical object from being counted more than once.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
schemeName,LatimerCoreScheme,ltc:schemeName,http://rs.tdwg.org/ltc/terms/schemeName,http://rs.tdwg.org/ltc/terms/version/schemeName-2023-08-01,Scheme Name,A short descriptive name given to the LatimerCoreScheme.,,,"`NHM Collections Inventory`, `Index Herbariorum`, `European Darwin Collections`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
MeasurementOrFact,MeasurementOrFact,ltc:MeasurementOrFact,http://rs.tdwg.org/ltc/terms/MeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/MeasurementOrFact-2023-08-01,Measurement or Fact,"A measurement of or fact about a class within the standard, or a relationship between the ObjectGroup and an associated class.",,"This class can be used to apply measurements, facts or narratives to the ObjectGroup as a whole, or used to qualify the relationship between the ObjectGroup and an associated attribute. For example, an ObjectGroup may contain 100 objects, of which 40 are from Europe and 60 from Africa. In this example, one MeasurementOrFact (count of 100) would be attached to the ObjectGroup, and one to each of the two relationships between the ObjectGroup and GeographicContext (Europe: count of 40, Africa: count of 60).",,http://www.w3.org/2000/01/rdf-schema#Class
hasIdentifier,MeasurementOrFact,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,MeasurementOrFact,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementAccuracy,MeasurementOrFact,dwc:measurementAccuracy,http://rs.tdwg.org/dwc/terms/measurementAccuracy,,Measurement Accuracy,The description of the potential error associated with the measurementValue.,The description of the potential error associated with the measurementValue applied to the collection.,,"`0.01`, `Normal distribution with variation of 2 m`, `Reported`, `Estimated`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementDerivation,MeasurementOrFact,ltc:measurementDerivation,http://rs.tdwg.org/ltc/terms/measurementDerivation,http://rs.tdwg.org/ltc/terms/version/measurementDerivation-2023-08-01,Measurement Derivation,"An indicator as to whether the measurement, fact, characteristic, or assertion being applied to the collection was derived from reported figures or aggregated/calculated from underlying data.",,"If there is more detailed information about the method by which a measurement or fact was derived, this should be captured using the measurementMethod property.","`Reported`, `Calculated`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementFactText,MeasurementOrFact,ltc:measurementFactText,http://rs.tdwg.org/ltc/terms/measurementFactText,http://rs.tdwg.org/ltc/terms/version/measurementFactText-2023-08-01,Fact or Narrative Text,"The value of the qualitative fact, characteristic, or assertion being made about the collection.",,"This property should also be used for storing textual information about the collection within a particular context, such as narratives or comments about digitisation readiness.","`UV-light`, `Extra large`, `Level 1`, `Re-curation of this collection would be required prior to digitisation, requiring an estimated two weeks of curator time.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementMethod,MeasurementOrFact,dwc:measurementMethod,http://rs.tdwg.org/dwc/terms/measurementMethod,,Measurement Method,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.",,,"`DiSSCo MIDS level`, `CD Standard Metric`, `https://doi.org/10.5281/zenodo.3465285`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementRemarks,MeasurementOrFact,dwc:measurementRemarks,http://rs.tdwg.org/dwc/terms/measurementRemarks,,Measurement Remarks,Comments or notes accompanying the MeasurementOrFact.,,,"`Does not include on-loan material`, `Footprint includes housing`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementType,MeasurementOrFact,dwc:measurementType,http://rs.tdwg.org/dwc/terms/measurementType,,Measurement Type,"The nature of the measurement, fact, characteristic, or assertion.",,Recommended best practice is to use a controlled vocabulary.,"`Imaged Level Percentage`, `Storage Volume`, `Object Count`, `MIDS-0 Object Count`, `Historical narrative`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementUnit,MeasurementOrFact,dwc:measurementUnit,http://rs.tdwg.org/dwc/terms/measurementUnit,,Measurement Unit,The units associated with the measurementValue.,,"For some use cases, this property can also be used to reflect the type of value being stored (e.g. a count, or a percentage).","`mm`, `C`, `km`, `ha`, `count`, `percentage`, `category`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
measurementValue,MeasurementOrFact,dwc:measurementValue,http://rs.tdwg.org/dwc/terms/measurementValue,,Measurement Value,"The value of the measurement, fact, characteristic, or assertion.",The numeric value of the quantitative measurement being made about the collection.,"In the Collection Description standard, this field is constrained to only accept numeric values in order to better support the aggregation of quantitative metrics. For any non-numeric values, and metrics where the scale is a numeral that cannot be used in any calculations the measurementFactText property should be used instead.","`45`, `20000`, `1`, `14.5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
ObjectClassification,ObjectClassification,ltc:ObjectClassification,http://rs.tdwg.org/ltc/terms/ObjectClassification,http://rs.tdwg.org/ltc/terms/version/ObjectClassification-2023-08-01,Object Classification,"An informal classification of the type of objects within the ObjectGroup, using a hierarchical structure.",,"This class is used to categorise the ObjectGroup according to an informal, self-referential hierarchy. For example, this can be used to create a hierarchy encompassing biological, geological and anthropological collections, where a single formal taxonomy isn't appropriate.",,http://www.w3.org/2000/01/rdf-schema#Class
hasIdentifier,ObjectClassification,ltc:hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier,http://rs.tdwg.org/ltc/terms/version/hasIdentifier-2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasMeasurementOrFact,ObjectClassification,ltc:hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/version/hasMeasurementOrFact-2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasObjectClassification,ObjectClassification,ltc:hasObjectClassification,http://rs.tdwg.org/ltc/terms/hasObjectClassification,http://rs.tdwg.org/ltc/terms/version/hasObjectClassification-2023-08-01,Has Object Classification,This property refers to one or more related instances of the ObjectClassification class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
hasReference,ObjectClassification,ltc:hasReference,http://rs.tdwg.org/ltc/terms/hasReference,http://rs.tdwg.org/ltc/terms/version/hasReference-2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
isTopParent,ObjectClassification,ltc:isTopParent,http://rs.tdwg.org/ltc/terms/isTopParent,http://rs.tdwg.org/ltc/terms/version/isTopParent-2023-08-01,Is Top Parent,A flag to indicate that the current instance of ObjectClassification is at the top of the hierarchy represented by multiple nested instances of the class.,"""If this term is used, it should be set to `true` in the instance of ObjectClassification which represents the highest level of a hierarchy and `false` in the rest. If the direction of the hierarchy is self-evident or otherwise not notable, this term should not be populated. """,,"`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
objectClassificationLevel,ObjectClassification,ltc:objectClassificationLevel,http://rs.tdwg.org/ltc/terms/objectClassificationLevel,http://rs.tdwg.org/ltc/terms/version/objectClassificationLevel-2023-08-01,Object Classification Level,The level of the ObjectClassification in the hierarchy.,,It is up to the user to name the levels to be relevant to the hierarchical classification scheme that they are defining.,"`Domain`, `Discipline`, `Category`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
objectClassificationName,ObjectClassification,ltc:objectClassificationName,http://rs.tdwg.org/ltc/terms/objectClassificationName,http://rs.tdwg.org/ltc/terms/version/objectClassificationName-2023-08-01,Object Classification Name,"A short title describing this ObjectClassification as a class, unit or grouping.",,"This is a user-determined name given for classifying their collection. This name, expressing an assigned classification, can be part of a self-referential hierarchy.","`Zoology invertebrates`, `Palaeontology`, `Extra-terrestrial`, `Archaeology`, `Seed plants`, `Birds`, `Agriculture`, `Veterinary`, `Viruses`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
ObjectGroup,ObjectGroup,ltc:ObjectGroup,http://rs.tdwg.org/ltc/terms/ObjectGroup,http://rs.tdwg.org/ltc/terms/version/ObjectGroup-2023-08-01,Object Group,An intentionally grouped set of objects with one or more common characteristics.,,,,http://www.w3.org/2000/01/rdf-schema#Class
alternativeCollectionName,ObjectGroup,ltc:alternativeCollectionName,http://rs.tdwg.org/ltc/terms/alternativeCollectionName,http://rs.tdwg.org/ltc/terms/version/alternativeCollectionName-2023-08-01,Alternative Collection Name,One or more short titles different to the one given in ObjectGroup.collectionName used to summarise the collection objects contained within the ObjectGroup.,,,"`Darwin's fossil mammal collection`, `The Hubricht Molluscan Collection`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
baseTypeOfObjectGroup,ObjectGroup,ltc:baseTypeOfObjectGroup,http://rs.tdwg.org/ltc/terms/baseTypeOfObjectGroup,http://rs.tdwg.org/ltc/terms/version/baseTypeOfObjectGroup-2023-08-01,Base Type Of Object Group,High-level terms describing the fundamental nature of objects in the ObjectGroup.,,"For natural history collections baseTypeOfObjectGroup describes types of material entities and may constrain the values available in objectType. Notes for ObjectGroups where baseTypeOfObjectGroup is 'InformationArtefact': subsequent â€˜typeâ€™ properties could include hierarchical Audubon Core/Dublin Core terms â€“ e.g. dc:type (http://purl.org/dc/elements/1.1/type), ac:subtype / ac:subtypeLiteral (http://rs.tdwg.org/ac/terms/subtypeLiteral), or (proposed) ac:3DResourceType.","`MaterialEntity`, `InformationArtefact`, `AbstractConcept`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
